,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
95,sg:069cf4f863504435bf03f8376439778a,Hope Springs Church,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6076,29,87.0,"{""<5"":0,""5-20"":4,""21-60"":6,""61-240"":17,"">240"":2}",3331.5,41.964289,-72.295532,813110.0,CT,9.0,9013.0,Tolland County,90138901002.0
163,sg:0c9b043d56f24e9fa4940ea326366ec2,United States Postal Service (USPS),CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6071,40,17.5,"{""<5"":3,""5-20"":17,""21-60"":6,""61-240"":14,"">240"":0}",2570.0,41.986752,-72.441861,491110.0,CT,9.0,9013.0,Tolland County,90135382023.0
212,sg:105dbd92b8b347a0a2417c13fb0f3d1a,Goncharova Olga DDS,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6605,64,23.5,"{""<5"":1,""5-20"":28,""21-60"":16,""61-240"":11,"">240"":8}",4576.0,41.176156,-73.212136,621210.0,CT,9.0,9001.0,Fairfield County,90010711002.0
231,sg:11e76d70cf7c40468f4d29245286b230,Burlington,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6901,503,41.0,"{""<5"":3,""5-20"":138,""21-60"":188,""61-240"":122,"">240"":52}",40187.5,41.055856,-73.539907,448140.0,CT,9.0,9001.0,Fairfield County,90010201001.0
401,sg:219000cbd8344bc1901dadd90b41ada5,Barbara's Restaurant,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6514,262,18.0,"{""<5"":10,""5-20"":131,""21-60"":88,""61-240"":26,"">240"":7}",10819.5,41.339518,-72.93544,722511.0,CT,9.0,9009.0,New Haven County,90091655002.0
413,sg:22a7e13e2c334d6bae7d6f789549eeff,Sunoco,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6470,86,7.0,"{""<5"":6,""5-20"":54,""21-60"":15,""61-240"":10,"">240"":1}",3042.5,41.396768,-73.29361800000001,447110.0,CT,9.0,9001.0,Fairfield County,90012305022.0
463,sg:26d5cac6beb94025a6c6d3aaaac31606,Monro,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6410,2,75.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":2,"">240"":0}",301.0,41.480868,-72.906149,811198.0,CT,9.0,9009.0,New Haven County,90093434001.0
482,sg:2889139e63b84b5881e95cf3f55c2196,First and Last Bakery Cafe,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6114,158,30.5,"{""<5"":4,""5-20"":43,""21-60"":54,""61-240"":30,"">240"":27}",13729.5,41.734021000000006,-72.68679,722511.0,CT,9.0,9003.0,Hartford County,90035023004.0
487,sg:28dce5a883834985a1bef5744110e651,ENT & Allergy Associates,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6611,4,76.0,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":3,"">240"":0}",492.0,41.234859,-73.14938000000001,621111.0,CT,9.0,9001.0,Fairfield County,90010905002.0
488,sg:28df1ab1497847388edb220230aa5c88,KFC,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6810,260,19.0,"{""<5"":16,""5-20"":125,""21-60"":49,""61-240"":45,"">240"":25}",16359.5,41.408905,-73.455929,722513.0,CT,9.0,9001.0,Fairfield County,90012102001.0
496,sg:2939b817f79e412ab5e6071fd0fd0354,Pep Boys,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6514,183,22.0,"{""<5"":7,""5-20"":81,""21-60"":30,""61-240"":21,"">240"":44}",15965.5,41.371849,-72.916924,441310.0,CT,9.0,9009.0,New Haven County,90091658012.0
534,sg:2be5bf34d9ef4034b6dbab85eb74da8f,CrossFit,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6320,248,24.0,"{""<5"":5,""5-20"":111,""21-60"":58,""61-240"":62,"">240"":12}",15960.0,41.362639,-72.114876,713940.0,CT,9.0,9011.0,New London County,90116903002.0
558,sg:2e3a7540e9e34d39b5953157079ba2e6,Northford Country Grill,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6472,306,35.0,"{""<5"":7,""5-20"":104,""21-60"":78,""61-240"":38,"">240"":79}",29155.5,41.393683,-72.79019699999999,722511.0,CT,9.0,9009.0,New Haven County,90091862001.0
655,sg:35eb41dfd10946c2a9c29431cd652157,True Value Hardware,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6776,170,19.0,"{""<5"":11,""5-20"":83,""21-60"":45,""61-240"":27,"">240"":4}",7911.0,41.578489000000005,-73.413826,444130.0,CT,9.0,9005.0,Litchfield County,90052536002.0
688,sg:3904ad74ba524d58a93c0372209591a0,Boys & Girls Clubs of America,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6010,96,14.0,"{""<5"":6,""5-20"":51,""21-60"":12,""61-240"":15,"">240"":12}",6276.0,41.688644000000004,-72.91780200000001,624110.0,CT,9.0,9003.0,Hartford County,90034052002.0
866,sg:481be2811eff413cb6c6166f5a05836a,Cositas Deliciosas,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6513,546,26.0,"{""<5"":11,""5-20"":217,""21-60"":147,""61-240"":96,"">240"":75}",41141.5,41.309020000000004,-72.897992,722511.0,CT,9.0,9009.0,New Haven County,90091424003.0
1090,sg:5d2dcdfd1de94d2886305486558ceaa8,Calvary Christian Childhood Center,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6082,28,88.5,"{""<5"":0,""5-20"":8,""21-60"":5,""61-240"":11,"">240"":4}",2918.0,41.961262,-72.59695500000001,624410.0,CT,9.0,9003.0,Hartford County,90034812003.0
1120,sg:60a675d8ec3c4de99cb60ca9511b1f29,7-Eleven,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6268,12,21.0,"{""<5"":0,""5-20"":5,""21-60"":6,""61-240"":0,"">240"":1}",545.5,41.805081,-72.24394699999999,445120.0,CT,9.0,9013.0,Tolland County,90138812001.0
1140,sg:621f337ba9f84c6fad5e44b0a7b5ce80,Big Y Foods,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6470,181,13.0,"{""<5"":10,""5-20"":109,""21-60"":47,""61-240"":12,"">240"":3}",5817.0,41.412082,-73.304886,445110.0,CT,9.0,9001.0,Fairfield County,90012302001.0
1380,sg:7679d43ab6ca494cb733934595aeb566,UI RCP New Haven Fuel Cell,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6512,11,29.0,"{""<5"":0,""5-20"":5,""21-60"":2,""61-240"":3,"">240"":1}",835.0,41.289138,-72.89894699999999,221111.0,CT,9.0,9009.0,New Haven County,90091427003.0
1438,sg:7c92c9e4beaf44dbbef140f4035573fb,Baldi Stone and Gravel,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6415,35,22.0,"{""<5"":0,""5-20"":9,""21-60"":21,""61-240"":2,"">240"":3}",1984.0,41.587278999999995,-72.35382,444130.0,CT,9.0,9011.0,New London County,90117141011.0
1452,sg:7dfb9aa77be34f6c9926af9bbb2cbbad,Bird,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6851,10,78.0,"{""<5"":0,""5-20"":1,""21-60"":2,""61-240"":7,"">240"":0}",1147.0,41.138512,-73.319388,812112.0,CT,9.0,9001.0,Fairfield County,90010506003.0
1493,sg:81799eba1c5641b6a93d5d688db9079d,Mountain View School,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6010,14,165.0,"{""<5"":0,""5-20"":1,""21-60"":1,""61-240"":12,"">240"":0}",1859.0,41.696540999999996,-72.89895200000001,611110.0,CT,9.0,9003.0,Hartford County,90034053001.0
1540,sg:864cc22cbca7419486f690b110a962d5,Ywca Nike Tykes Early Learning Center,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6040,60,45.0,"{""<5"":0,""5-20"":26,""21-60"":5,""61-240"":11,"">240"":18}",6503.0,41.746798,-72.53326700000001,624410.0,CT,9.0,9003.0,Hartford County,90035151022.0
1603,sg:8c702a8ac92944bcb89aedf2688c01c5,Advanced Foot & Ankle Center,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6762,34,187.5,"{""<5"":0,""5-20"":8,""21-60"":2,""61-240"":15,"">240"":9}",4598.5,41.565630999999996,-73.092332,621111.0,CT,9.0,9009.0,New Haven County,90093520003.0
1750,sg:9a346929a2254efbb4c6ef4fede0a924,Hop Brook Lake,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6770,12,10.0,"{""<5"":1,""5-20"":8,""21-60"":1,""61-240"":2,"">240"":0}",444.0,41.514222,-73.068152,712190.0,CT,9.0,9009.0,New Haven County,90093454001.0
1943,sg:ae108ffa5d5c41ab942f798b1d95291d,Fairways Golf Range and Pro Shop,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6405,281,24.0,"{""<5"":3,""5-20"":117,""21-60"":124,""61-240"":27,"">240"":10}",12955.5,41.304103999999995,-72.765648,713910.0,CT,9.0,9009.0,New Haven County,90091847001.0
1947,sg:ae82d52ce2b547a1b9bfafbf51f16cde,United Churches of Durham,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6422,28,20.5,"{""<5"":0,""5-20"":14,""21-60"":6,""61-240"":7,"">240"":1}",1711.5,41.478153000000006,-72.681415,813110.0,CT,9.0,9007.0,Middlesex County,90075851003.0
1963,sg:afd33032f7f849cb8f1c85501ebc9caa,Wallingford Public Library,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6492,458,45.0,"{""<5"":7,""5-20"":130,""21-60"":122,""61-240"":170,"">240"":29}",39128.5,41.457195,-72.816855,519120.0,CT,9.0,9009.0,New Haven County,90091751001.0
2088,sg:bd7fc1b818c64557b586eef567132b44,The Hartford Deli,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6103,81,205.0,"{""<5"":2,""5-20"":29,""21-60"":2,""61-240"":11,"">240"":37}",10984.0,41.767919,-72.67347600000001,722511.0,CT,9.0,9003.0,Hartford County,90035021001.0
2599,sg:f1aa7169d1b34eaeaeca2947a3529171,Vieira Manuel N Agency,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6770,1,5.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",12.5,41.486243,-73.05751,524210.0,CT,9.0,9009.0,New Haven County,90093453002.0
2634,sg:f5e1b4c1b93146dbbeb72fa9bfdf380b,Elite Repeats LLC,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6416,13,9.0,"{""<5"":0,""5-20"":13,""21-60"":0,""61-240"":0,"">240"":0}",162.5,41.627004,-72.677155,448120.0,CT,9.0,9007.0,Middlesex County,90075701001.0
2724,sg:ff0dcf1b5e1844bdb49152dbf8657022,Michael Levin DDS,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6878,50,58.0,"{""<5"":1,""5-20"":8,""21-60"":17,""61-240"":12,"">240"":12}",5477.0,41.041553,-73.581331,621210.0,CT,9.0,9001.0,Fairfield County,90010109002.0
2896,sg:0d330d8fac524b9d96237857a10ece79,New England Auto World,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6418,1047,66.0,"{""<5"":19,""5-20"":321,""21-60"":172,""61-240"":258,"">240"":277}",116335.0,41.33293,-73.09049300000001,,CT,9.0,9009.0,New Haven County,90091202001.0
2897,sg:0d42abd512fa4dccad7b360f08554e75,Hartford Infant Toddler Early Lrng Ctr,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6112,58,32.5,"{""<5"":2,""5-20"":20,""21-60"":17,""61-240"":13,"">240"":6}",4340.0,41.797121000000004,-72.689673,624410.0,CT,9.0,9003.0,Hartford County,90035015001.0
3210,sg:2a11ee31f51141eea456d13bc8fbdc6f,Kaleidoscope Kids,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6877,51,42.0,"{""<5"":1,""5-20"":14,""21-60"":16,""61-240"":14,"">240"":6}",4372.5,41.361474,-73.52432900000001,624410.0,CT,9.0,9001.0,Fairfield County,90012456001.0
3249,sg:2da1d7c6d649403b8d38cf057758403f,American Institute,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6110,155,164.0,"{""<5"":0,""5-20"":8,""21-60"":10,""61-240"":92,"">240"":45}",25151.0,41.726875,-72.725973,611310.0,CT,9.0,9003.0,Hartford County,90034961002.0
3322,sg:346043020948434ea8c560172ee77c24,Quest Diagnostics,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6105,163,44.0,"{""<5"":2,""5-20"":37,""21-60"":58,""61-240"":34,"">240"":32}",15613.5,41.769022,-72.702476,621511.0,CT,9.0,9003.0,Hartford County,90035031004.0
3352,sg:37a4a9a59146439e98867026e30324f7,Prospect Pizza Restaurant,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6119,105,149.0,"{""<5"":0,""5-20"":18,""21-60"":11,""61-240"":35,"">240"":41}",15778.0,41.752528999999996,-72.718023,722511.0,CT,9.0,9003.0,Hartford County,90034967001.0
3356,sg:380d39a79de54a5f9de9c3c90f6e7904,Edward Jones,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6082,9,57.0,"{""<5"":0,""5-20"":2,""21-60"":4,""61-240"":2,"">240"":1}",728.0,41.988727000000004,-72.560331,523999.0,CT,9.0,9003.0,Hartford County,90034808002.0
3441,sg:40322636e188445394fb6d80f35d3fad,Planned Parenthood,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6511,207,146.0,"{""<5"":3,""5-20"":25,""21-60"":38,""61-240"":78,"">240"":63}",28718.0,41.319855,-72.91830300000001,621410.0,CT,9.0,9009.0,New Haven County,90091419001.0
3579,sg:4cae41a3fa6c4d8eb5fc26932a8770a1,Sams Food Store,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6118,144,21.5,"{""<5"":4,""5-20"":67,""21-60"":26,""61-240"":15,"">240"":32}",11838.0,41.736743,-72.628703,445110.0,CT,9.0,9003.0,Hartford County,90035108002.0
3766,sg:5d75ecb30d394107b807786e0d302715,Southern Connecticut Freightliner,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6405,143,25.0,"{""<5"":0,""5-20"":61,""21-60"":24,""61-240"":25,"">240"":33}",13417.0,41.297615,-72.75630799999999,441310.0,CT,9.0,9009.0,New Haven County,90091847001.0
3929,sg:6be9c3913cce4ee79a051c1b12fb7034,ALDI,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6351,417,14.0,"{""<5"":16,""5-20"":247,""21-60"":148,""61-240"":6,"">240"":0}",10024.5,41.58551,-71.99443000000001,445110.0,CT,9.0,9011.0,New London County,90117101002.0
3982,sg:711f26a632ed4c779954f979ac1c3bed,Family Dental Practice Of Southington,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6489,5,14.0,"{""<5"":0,""5-20"":4,""21-60"":0,""61-240"":1,"">240"":0}",200.5,41.607449,-72.878423,621210.0,CT,9.0,9003.0,Hartford County,90034306022.0
4012,sg:75247527f92f4762a40abb2b3a0fefbf,Charter Oak Landing,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6114,28,28.5,"{""<5"":0,""5-20"":9,""21-60"":15,""61-240"":3,"">240"":1}",1411.5,41.746177,-72.655406,712190.0,CT,9.0,9003.0,Hartford County,90035025001.0
4074,sg:7ac0c26f73474d1bae854a354c66c54d,Stop &amp Shop,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6033,537,20.0,"{""<5"":17,""5-20"":263,""21-60"":181,""61-240"":31,"">240"":45}",26126.0,41.722273,-72.624894,445110.0,,,,,
4150,sg:82a50b1fbbe7405bac3a7fd78f0584a0,Domino's Pizza,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6457,39,13.0,"{""<5"":1,""5-20"":24,""21-60"":9,""61-240"":2,"">240"":3}",1688.0,41.546155,-72.650911,722513.0,CT,9.0,9007.0,Middlesex County,90075420003.0
4168,sg:84ade943f6b9449b8de6ead06131e6de,Fit4Mom,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6371,143,22.0,"{""<5"":6,""5-20"":58,""21-60"":34,""61-240"":37,"">240"":8}",9605.5,41.31886,-72.329163,713940.0,,,,,
4318,sg:9307294624c74f269da61373232f9109,TJ's Landscaping,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6109,45,13.0,"{""<5"":3,""5-20"":24,""21-60"":6,""61-240"":7,"">240"":5}",2804.0,41.703926,-72.672434,444130.0,CT,9.0,9003.0,Hartford County,90034922004.0
4327,sg:9483087bab3849aba6b2b2c5086fa3e4,Yale New Haven Hospital,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6405,112,101.5,"{""<5"":1,""5-20"":16,""21-60"":32,""61-240"":34,"">240"":29}",13575.5,41.284667999999996,-72.82118100000001,622110.0,CT,9.0,9009.0,New Haven County,90091842001.0
4332,sg:94c72db8637f44148ce59ae4b3292017,Storrs Wine and Spirits,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6268,60,16.5,"{""<5"":3,""5-20"":30,""21-60"":13,""61-240"":8,"">240"":6}",3553.0,41.804674,-72.242139,445310.0,CT,9.0,9013.0,Tolland County,90138811002.0
4497,sg:a371a271d5d648ab8e1fed11af65f192,Puerto Vallarta,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6477,517,54.0,"{""<5"":19,""5-20"":119,""21-60"":147,""61-240"":211,"">240"":21}",44284.0,41.261503999999995,-73.008673,722511.0,CT,9.0,9009.0,New Haven County,90091571001.0
4563,sg:aa73699a54ce4eb5800a78b2cddad5dc,Subway,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6010,121,21.0,"{""<5"":5,""5-20"":55,""21-60"":35,""61-240"":16,"">240"":10}",6925.5,41.671871,-72.946077,722513.0,CT,9.0,9003.0,Hartford County,90034061002.0
4631,sg:b14f1b6714704dc39055ef34ae1a957e,Skip's 19th Hole,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6604,42,87.5,"{""<5"":0,""5-20"":9,""21-60"":7,""61-240"":17,"">240"":9}",5114.5,41.187179,-73.21969399999999,722511.0,CT,9.0,9001.0,Fairfield County,90010721001.0
4651,sg:b3da40c44b0149b8820f5b8f240a4ed7,Poochies Parlor,CT,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,6405,2,400.0,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":0,"">240"":1}",280.5,41.294446,-72.782236,453910.0,CT,9.0,9009.0,New Haven County,90091847001.0
