,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
597,sg:357fffe675084f4d84481c9746bfabb3,Aloha Pizza,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2893,222,15.0,"{""<5"":9,""5-20"":110,""21-60"":33,""61-240"":30,"">240"":40}",16849.0,41.700497999999996,-71.52801600000001,722511.0,RI,44.0,44003.0,Kent County,440030203005.0
774,sg:4643f8da68924354a2a42ae2169d7b9a,Michaels Discount,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2861,156,22.5,"{""<5"":2,""5-20"":71,""21-60"":24,""61-240"":20,"">240"":39}",14234.5,41.891625,-71.347454,452319.0,RI,44.0,44007.0,Providence County,440070157002.0
803,sg:49a0612cce464870ae40ce56284815dc,Michelangelo's Deli and Catering,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2920,21,5.0,"{""<5"":7,""5-20"":12,""21-60"":0,""61-240"":2,"">240"":0}",468.5,41.757852,-71.445886,721110.0,RI,44.0,44007.0,Providence County,440070139003.0
846,sg:4dcba65a64ca4ae0af1962d0bb240c6d,Two Little Fish,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2891,4,12.5,"{""<5"":0,""5-20"":3,""21-60"":1,""61-240"":0,"">240"":0}",78.0,41.324958,-71.796529,722511.0,RI,44.0,44009.0,Washington County,440090510004.0
1213,sg:6fda6289468649a8ac1ced23d960e7e4,The Point Tavern,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2903,102,84.5,"{""<5"":1,""5-20"":12,""21-60"":24,""61-240"":48,"">240"":17}",12428.5,41.819674,-71.39714000000001,722511.0,RI,44.0,44007.0,Providence County,440070037003.0
1352,sg:7e498a90bd3b490c92bb1b805f72bb2a,Warwick Dance & Gymnastics Academy,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2889,193,24.0,"{""<5"":9,""5-20"":74,""21-60"":57,""61-240"":50,"">240"":3}",11501.0,41.706959999999995,-71.416523,713940.0,RI,44.0,44003.0,Kent County,440030219021.0
1465,sg:88ff19f5249e4e72ae7f37dad3b421ff,Evans D Matthew,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2906,275,120.0,"{""<5"":0,""5-20"":41,""21-60"":50,""61-240"":107,"">240"":77}",37121.0,41.843094,-71.380073,621330.0,RI,44.0,44007.0,Providence County,440070034002.0
1521,sg:8ed9d8cd0f0f44ea96a259296220f948,Beacon Hospice,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2914,277,119.0,"{""<5"":2,""5-20"":51,""21-60"":51,""61-240"":112,"">240"":61}",34204.0,41.80268,-71.344139,621610.0,RI,44.0,44007.0,Providence County,440070105011.0
1543,sg:90ea04aa6c8a48a792a6f4f9d1c80d6a,Metro Collision Center,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2919,2,183.5,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":1}",252.5,41.866552,-71.499989,811121.0,RI,44.0,44007.0,Providence County,440070123001.0
1599,sg:96c5b40f38d84b73aa2ad1a8aa758d13,Piper Brown Photography,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2917,52,251.0,"{""<5"":0,""5-20"":5,""21-60"":8,""61-240"":13,"">240"":26}",8583.0,41.878786,-71.472877,541921.0,RI,44.0,44007.0,Providence County,440070126026.0
1668,sg:9ce20a0092904f31a4f63e7b902ff481,Attorney Mark Buckley CFP,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2909,6,8.5,"{""<5"":0,""5-20"":4,""21-60"":0,""61-240"":2,"">240"":0}",351.0,41.815929,-71.434938,541213.0,RI,44.0,44007.0,Providence County,440070013001.0
1770,sg:a677650127684254b8916af8ef5620db,Bangkok City Thai Restaurant,RI,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,2842,44,17.0,"{""<5"":1,""5-20"":25,""21-60"":11,""61-240"":5,"">240"":2}",1993.0,41.521258,-71.294884,722511.0,RI,44.0,44005.0,Newport County,440050403042.0
