,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
54,sg:05d1d15b45fa4945bb382931951d44c6,Mancini Chiropractic Wellness Center,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6488,24,21.0,"{""<5"":0,""5-20"":11,""21-60"":7,""61-240"":6,"">240"":0}",1324.0,41.470672,-73.22444300000001,621310.0,CT,9.0,9009.0,New Haven County,90093481242.0
179,sg:122e04172cbd414e894ebfd3a8b480d1,Silver City Insurance,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6450,228,37.0,"{""<5"":5,""5-20"":70,""21-60"":64,""61-240"":74,"">240"":15}",18216.5,41.533095,-72.774283,524210.0,CT,9.0,9009.0,New Haven County,90091713004.0
306,sg:1c18129970a841c09c4263b030dce8fb,Bill's Bedding & Furniture Showroom,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6239,30,41.0,"{""<5"":0,""5-20"":8,""21-60"":13,""61-240"":9,"">240"":0}",1981.0,41.817357,-71.876897,442110.0,CT,9.0,9015.0,Windham County,90159044004.0
327,sg:1e0ae20afe254427bd8c309606ccd867,Golden Nozzle Car Wash,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6106,63,8.0,"{""<5"":5,""5-20"":44,""21-60"":10,""61-240"":4,"">240"":0}",1569.5,41.751845,-72.71195999999999,811192.0,CT,9.0,9003.0,Hartford County,90035043002.0
462,sg:299fc6789d49481a8a253e2180b61190,Waycup Coffee Company,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6053,60,11.0,"{""<5"":0,""5-20"":53,""21-60"":7,""61-240"":0,"">240"":0}",946.0,41.702912,-72.794946,722515.0,CT,9.0,9003.0,Hartford County,90034175001.0
489,sg:2b8a9a772cc245ed9537b5fffb04f965,Pizzetta,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6355,209,21.0,"{""<5"":2,""5-20"":90,""21-60"":62,""61-240"":49,"">240"":6}",12455.5,41.353765,-71.971354,722511.0,CT,9.0,9011.0,New London County,90117030001.0
582,sg:3268f8b7026f4d37b3d991d7e217feb5,Mccook Point Park,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6360,235,20.0,"{""<5"":8,""5-20"":118,""21-60"":85,""61-240"":21,"">240"":3}",8818.0,41.319111,-72.197808,712190.0,CT,9.0,9011.0,New London County,90118707042.0
603,sg:34226d2ae31a49eab0569d4df16b47b8,Powerhouse Super Gym,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6037,195,53.0,"{""<5"":5,""5-20"":17,""21-60"":89,""61-240"":78,"">240"":6}",17008.5,41.628599,-72.747095,713940.0,CT,9.0,9003.0,Hartford County,90034001003.0
615,sg:355de1f6a80f485cac208d98e4f980a2,Tolland Red & White,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6084,18,25.5,"{""<5"":2,""5-20"":5,""21-60"":7,""61-240"":3,"">240"":1}",1042.5,41.871513,-72.3684,453310.0,CT,9.0,9013.0,Tolland County,90135331014.0
694,sg:3d3ffca785ac49a4bbd7eec8a87508c3,Nardelli's Grinder Shoppe,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6450,42,8.0,"{""<5"":4,""5-20"":26,""21-60"":11,""61-240"":0,"">240"":1}",1020.5,41.528088000000004,-72.773706,722511.0,CT,9.0,9009.0,New Haven County,90091713001.0
853,sg:4c0ec3cb510546d09dc9c9fdacde6dcf,The Cubic Scoops Ice Cream,CT,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,6243,25,41.0,"{""<5"":1,""5-20"":8,""21-60"":7,""61-240"":6,"">240"":3}",2009.0,41.846227,-71.826788,722515.0,CT,9.0,9015.0,Windham County,90159041003.0
