,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
586,sg:36cafdff771f4893aebbf2c497975a08,Ferro Weathervanes,RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2885,33,82.0,"{""<5"":1,""5-20"":3,""21-60"":9,""61-240"":20,"">240"":0}",3414.5,41.728864,-71.27816700000001,451130.0,RI,44.0,44001.0,Bristol County,440010305002.0
662,sg:3d55fd0ee7444f33860c102db2301253,Stillwater Books,RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2860,38,8.0,"{""<5"":3,""5-20"":32,""21-60"":2,""61-240"":0,"">240"":1}",728.5,41.877210999999996,-71.383783,451211.0,RI,44.0,44007.0,Providence County,440070152002.0
1280,sg:7bdb1a6983014b139f78ff83781a34ee,Donald C Winfield & Co,RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2886,5,25.0,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":2,"">240"":0}",366.5,41.696729,-71.46479599999999,523930.0,RI,44.0,44003.0,Kent County,440030222015.0
1342,sg:81e035a722334c9c8599c30c40a8441c,Edible Arrangements,RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2885,117,28.0,"{""<5"":12,""5-20"":40,""21-60"":20,""61-240"":25,"">240"":20}",9902.5,41.730482,-71.28050400000001,453220.0,RI,44.0,44001.0,Bristol County,440010305001.0
1995,sg:c5194f55b605489f84430910f64c42dd,Around the Corner Ice Cream,RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2813,2,11.5,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":0}",25.0,41.380976000000004,-71.623728,722515.0,RI,44.0,44009.0,Washington County,440090511022.0
2194,sg:d734f3ca805148719fff89a89659c56b,Montessori Of Greenwich Bay,RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2818,70,25.0,"{""<5"":1,""5-20"":30,""21-60"":17,""61-240"":21,"">240"":1}",4466.5,41.607628999999996,-71.49368199999999,611110.0,RI,44.0,44003.0,Kent County,440030209032.0
2273,sg:dfec7783a44749119882102a980bbf84,Korean War Memorial of Rhode Island,RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2903,423,82.0,"{""<5"":2,""5-20"":52,""21-60"":90,""61-240"":243,"">240"":36}",49511.5,41.825858000000004,-71.407839,712120.0,RI,44.0,44007.0,Providence County,440070036023.0
2385,sg:eb84a9178bb84490bd4c0391ac1d72e3,Dunkin',RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2809,294,11.5,"{""<5"":22,""5-20"":138,""21-60"":50,""61-240"":41,"">240"":43}",20295.5,41.677489,-71.260341,722515.0,RI,44.0,44001.0,Bristol County,440010308001.0
2959,sg:254baf5a51b54020ab99fa902c5ea90f,Thai Star Restaurant,RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2908,34,16.5,"{""<5"":2,""5-20"":17,""21-60"":6,""61-240"":7,"">240"":2}",1994.0,41.832212,-71.444011,722511.0,RI,44.0,44007.0,Providence County,440070022004.0
3077,sg:326c12908b4c44069691e0aef57c6bd4,Moore Fabrics Factory Outlet,RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2860,26,1210.5,"{""<5"":1,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":23}",5547.5,41.870133,-71.393465,448210.0,RI,44.0,44007.0,Providence County,440070161003.0
3094,sg:343c7eabb95c4a4c9abe482da09a3b77,Stop & Shop,RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2861,1740,19.0,"{""<5"":41,""5-20"":938,""21-60"":642,""61-240"":91,"">240"":28}",58244.0,41.888628000000004,-71.367186,445110.0,RI,44.0,44007.0,Providence County,440070155003.0
3372,sg:4d346d9307a84eabae1f12bcbbccb512,Ida's Restaurant,RI,2020-03-01T00:00:00-05:00,2020-04-01T00:00:00-04:00,2842,38,60.0,"{""<5"":0,""5-20"":11,""21-60"":8,""61-240"":12,"">240"":7}",3947.5,41.521307,-71.29490899999999,722511.0,RI,44.0,44005.0,Newport County,440050403042.0
