,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
94,sg:069cf4f863504435bf03f8376439778a,Hope Springs Church,CT,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,6076,9,11.0,"{""<5"":0,""5-20"":6,""21-60"":1,""61-240"":2,"">240"":0}",416.5,41.964289,-72.295532,813110.0,CT,9.0,9013.0,Tolland County,90138901002.0
163,sg:0c9b043d56f24e9fa4940ea326366ec2,United States Postal Service (USPS),CT,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,6071,64,7.0,"{""<5"":4,""5-20"":50,""21-60"":4,""61-240"":4,"">240"":2}",1879.0,41.986752,-72.441861,491110.0,CT,9.0,9013.0,Tolland County,90135382023.0
213,sg:105dbd92b8b347a0a2417c13fb0f3d1a,Goncharova Olga DDS,CT,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,6605,53,30.0,"{""<5"":2,""5-20"":22,""21-60"":11,""61-240"":11,"">240"":7}",4061.0,41.176156,-73.212136,621210.0,CT,9.0,9001.0,Fairfield County,90010711002.0
232,sg:11e76d70cf7c40468f4d29245286b230,Burlington,CT,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,6901,861,37.0,"{""<5"":6,""5-20"":208,""21-60"":399,""61-240"":190,"">240"":58}",61289.5,41.055856,-73.539907,448140.0,CT,9.0,9001.0,Fairfield County,90010201001.0
401,sg:219000cbd8344bc1901dadd90b41ada5,Barbara's Restaurant,CT,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,6514,230,14.0,"{""<5"":12,""5-20"":121,""21-60"":69,""61-240"":22,"">240"":6}",9088.0,41.339518,-72.93544,722511.0,CT,9.0,9009.0,New Haven County,90091655002.0
414,sg:22a7e13e2c334d6bae7d6f789549eeff,Sunoco,CT,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,6470,71,15.0,"{""<5"":2,""5-20"":42,""21-60"":15,""61-240"":11,"">240"":1}",3033.0,41.396768,-73.29361800000001,447110.0,CT,9.0,9001.0,Fairfield County,90012305022.0
464,sg:26d5cac6beb94025a6c6d3aaaac31606,Monro,CT,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,6410,2,74.0,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":1,"">240"":0}",191.0,41.480868,-72.906149,811198.0,CT,9.0,9009.0,New Haven County,90093434001.0
483,sg:2889139e63b84b5881e95cf3f55c2196,First and Last Bakery Cafe,CT,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,6114,116,35.5,"{""<5"":2,""5-20"":39,""21-60"":36,""61-240"":22,"">240"":17}",9341.5,41.734021000000006,-72.68679,722511.0,CT,9.0,9003.0,Hartford County,90035023004.0
488,sg:28dce5a883834985a1bef5744110e651,ENT & Allergy Associates,CT,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,6611,3,10.0,"{""<5"":0,""5-20"":3,""21-60"":0,""61-240"":0,"">240"":0}",37.5,41.234859,-73.14938000000001,621111.0,CT,9.0,9001.0,Fairfield County,90010905002.0
489,sg:28df1ab1497847388edb220230aa5c88,KFC,CT,2019-12-01T00:00:00-05:00,2020-01-01T00:00:00-05:00,6810,222,12.0,"{""<5"":16,""5-20"":111,""21-60"":37,""61-240"":41,"">240"":17}",13176.5,41.408905,-73.455929,722513.0,CT,9.0,9001.0,Fairfield County,90012102001.0
