,safegraph_place_id,location_name,region,date_range_start,date_range_end,postal_code,raw_visit_counts,median_dwell,bucketed_dwell_times,est_total_dwell,latitude,longitude,naics_code,state,stateFIPS,countyFIPS,countyName,CBGFIPS
168,sg:0fa22835c3a24bd7b5505aa683d72799,Table,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2806,72,21.5,"{""<5"":6,""5-20"":29,""21-60"":24,""61-240"":11,"">240"":2}",3485.0,41.738887,-71.308356,722511.0,RI,44.0,44001.0,Bristol County,440010302003.0
456,sg:2bbee1d745814a5ea3362d0cbca9834b,New England Institute Of Technology,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2818,319,93.0,"{""<5"":1,""5-20"":47,""21-60"":55,""61-240"":183,"">240"":33}",38279.0,41.715146999999995,-71.44488299999999,611310.0,RI,44.0,44003.0,Kent County,440030219011.0
529,sg:314a3a83a0f847fc8a447ac9d044031d,Three Bags Full,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2864,54,20.0,"{""<5"":2,""5-20"":26,""21-60"":6,""61-240"":18,"">240"":2}",3762.0,41.990507,-71.41306800000001,451130.0,RI,44.0,44007.0,Providence County,440070114022.0
841,sg:4d190e208f864672b72ede88be05b79b,Property Advisors Group,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2903,96,43.0,"{""<5"":4,""5-20"":30,""21-60"":23,""61-240"":22,"">240"":17}",8707.5,41.820294,-71.416543,522110.0,RI,44.0,44007.0,Providence County,440070008002.0
1001,sg:5c342f4833454c62b3e834f1954c81b0,Kimberly's,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2807,129,21.0,"{""<5"":4,""5-20"":56,""21-60"":31,""61-240"":27,"">240"":11}",8669.0,41.174175,-71.56303100000001,722511.0,RI,44.0,44009.0,Washington County,440090415001.0
1219,sg:715ca90b5de4479c9a26b43056fdb1b8,Pure Barre,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2920,326,55.5,"{""<5"":4,""5-20"":67,""21-60"":110,""61-240"":104,"">240"":41}",30794.5,41.757231,-71.459874,713940.0,RI,44.0,44007.0,Providence County,440070142002.0
1328,sg:7c28e818ece2411bbb8b88da514601bf,Trinity Christian Academy,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2919,270,33.0,"{""<5"":3,""5-20"":114,""21-60"":48,""61-240"":86,"">240"":19}",20879.5,41.831357000000004,-71.52923299999999,611110.0,RI,44.0,44007.0,Providence County,440070122004.0
1605,sg:94414f86a46641f6befa5e91eddcfbb4,Lifespan Laboratories,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2911,65,235.0,"{""<5"":0,""5-20"":8,""21-60"":16,""61-240"":10,"">240"":31}",9693.0,41.849821999999996,-71.46024,621511.0,RI,44.0,44007.0,Providence County,440070120001.0
2145,sg:cb041c7a0e4f49aa9c7b6386b51be4f5,My Cousin Vinny's Rentals,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2919,79,54.0,"{""<5"":1,""5-20"":17,""21-60"":28,""61-240"":30,"">240"":3}",6584.0,41.821717,-71.49699100000001,812320.0,RI,44.0,44007.0,Providence County,440070124015.0
2190,sg:cf80c794dca34b79b42457709afff770,Rosa Viveiros RE MAX River's Edge,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2914,1,31.0,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":0,"">240"":0}",40.5,41.810025,-71.35576,531210.0,RI,44.0,44007.0,Providence County,440070105011.0
2646,sg:015015a58f344244955674c21da677a2,Barcellos Family Restaurant,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2878,186,108.0,"{""<5"":0,""5-20"":15,""21-60"":34,""61-240"":101,"">240"":36}",25405.0,41.629298999999996,-71.146052,722511.0,RI,44.0,44005.0,Newport County,440050417011.0
3003,sg:219169b358884eaf857cb35d892502f7,Riverhead Building Supply Masonry Supplies,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2891,175,31.0,"{""<5"":4,""5-20"":64,""21-60"":50,""61-240"":34,"">240"":23}",13472.0,41.382842,-71.823798,444130.0,RI,44.0,44009.0,Washington County,440090508014.0
3315,sg:3ee1b07d3f8c412ab7f41a0accafb0a1,Our Lady Of Mt Carmel,RI,2019-05-01T00:00:00-04:00,2019-06-01T00:00:00-04:00,2809,13,408.0,"{""<5"":0,""5-20"":3,""21-60"":1,""61-240"":1,"">240"":8}",2148.5,41.671293,-71.273574,611110.0,RI,44.0,44001.0,Bristol County,440010307002.0
